brand, product_name, shipping_name 
EVGA,EVGA GeForce GTX 1050 SC GAMING| 02G-P4-6152-KR| 2GB GDDR5| DX12 OSD Support (PXOC),$4.99 Shipping
GIGABYTE,GIGABYTE Radeon RX 560 DirectX 12 GV-RX560OC-4GD (rev. 1.0) Video Card,$3.99 Shipping
ASUS,ASUS GeForce GTX 1050 PH-GTX1050-2G Video Card,$4.99 Shipping
ZOTAC,ZOTAC GeForce GT 710 DirectX 12 ZT-71302-20L Video Card,$5.29 Shipping
XFX,XFX Radeon R5 230 R5-230A-CLF2 Video Card,$2.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1050 OC Low Profile 2GB Video Card| GBTGV-N1050OC-2GL,$4.99 Shipping
ZOTAC,ZOTAC GeForce GT 1030 2GB GDDR5 64-bit PCIe 3.0 DirectX 12 HDCP Ready Low Profile Video Card ZT-P10300A-10L,$3.99 Shipping
MSI,MSI Radeon R7 250 DirectX 12 R7 250 2GD3 OC Video Card,Free Shipping
EVGA,EVGA GeForce GTX 1050 SSC GAMING ACX 3.0| 02G-P4-6154-KR| 2GB GDDR5| DX12 OSD Support (PXOC),Free Shipping
ASUS,ASUS GeForce GT 1030 2GB GDDR5 HDMI DVI Graphics Card (GT1030-2G-CSM),Free Shipping
AMD,AMD Radeon Vega Frontier Edition 100-506061 16GB 2048-bit HBM2 Video Cards - Workstation,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1050 Ti OC Low Profile 4GB Video Card| GBTGV-N105TOC-4GL,$4.99 Shipping
